id,uri,is_used,created_at
1,https://118.174.232.181:38659,1,1
2,https://134.249.171.35:32090,1,1
3,https://110.74.195.120:39146,1,1
4,https://118.174.232.185:44265,1,1
5,https://186.250.55.5:53560,1,1
6,https://85.99.100.37:48765,1,1
7,https://58.9.118.95:34367,0,1
8,https://193.165.67.201:55145,0,1
9,https://107.167.202.66:55787,0,1
10,https://155.232.186.105:3128,0,1
11,https://124.158.184.1:8080,0,1
11,https://54.39.138.144:3128,0,1
12,https://45.222.96.12:35854,0,1
13,https://35.231.54.121:8080,0,1
